IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
146.235.211.70,2082,true,SJC,North America,San Jose,173 ms,2659 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,272 ms,2629 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,328 ms,2615 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,274 ms,2608 kB/s
79.72.75.198,2053,true,LHR,Europe,London,237 ms,2503 kB/s
89.168.112.118,2096,true,FRA,Europe,Frankfurt,299 ms,2358 kB/s
143.47.243.144,2053,true,LHR,Europe,London,231 ms,2220 kB/s
193.122.1.0,2053,true,FRA,Europe,Frankfurt,256 ms,2180 kB/s
143.47.243.144,8443,true,LHR,Europe,London,230 ms,2154 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,276 ms,2127 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,289 ms,2108 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,240 ms,2025 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,269 ms,1890 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,298 ms,1721 kB/s
89.168.112.118,8443,true,FRA,Europe,Frankfurt,296 ms,1638 kB/s
158.178.156.56,2053,true,AMS,Europe,Amsterdam,290 ms,1590 kB/s
193.122.1.0,8443,true,FRA,Europe,Frankfurt,251 ms,1364 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,245 ms,1331 kB/s
144.24.200.164,443,true,MRS,Europe,Marseille,258 ms,1238 kB/s
146.235.211.70,2083,true,SJC,North America,San Jose,177 ms,1148 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,267 ms,1110 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,362 ms,931 kB/s
132.145.54.84,2053,true,LHR,Europe,London,252 ms,921 kB/s
130.61.181.61,2053,true,FRA,Europe,Frankfurt,287 ms,851 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,260 ms,809 kB/s
141.144.198.113,8443,true,AMS,Europe,Amsterdam,291 ms,652 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,270 ms,651 kB/s
141.144.198.113,2053,true,AMS,Europe,Amsterdam,290 ms,630 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,261 ms,582 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,359 ms,582 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,312 ms,457 kB/s
130.61.181.61,8443,true,FRA,Europe,Frankfurt,286 ms,387 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,296 ms,355 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,374 ms,336 kB/s
130.61.181.61,2096,true,FRA,Europe,Frankfurt,289 ms,323 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,361 ms,291 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,250 ms,291 kB/s
132.145.54.84,8443,true,LHR,Europe,London,256 ms,291 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,247 ms,224 kB/s
158.179.206.143,443,true,ARN,Europe,Stockholm,259 ms,204 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,328 ms,195 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,257 ms,185 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,249 ms,185 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,368 ms,163 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,380 ms,153 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,296 ms,137 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,360 ms,118 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,308 ms,112 kB/s
89.168.112.118,2053,true,FRA,Europe,Frankfurt,295 ms,102 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,91 ms,99 kB/s
130.162.184.173,443,true,LHR,Europe,London,240 ms,77 kB/s
193.123.250.209,2087,true,ICN,Asia Pacific,Seoul,66 ms,51 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,292 ms,30 kB/s
140.238.33.161,443,true,NRT,Asia Pacific,Tokyo,176 ms,0 kB/s
141.147.85.167,8443,true,LHR,Europe,London,255 ms,0 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,267 ms,0 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,270 ms,0 kB/s
158.101.15.48,443,true,LAX,North America,Los Angeles,236 ms,0 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,239 ms,0 kB/s
﻿IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.88.15.127,443,true,SJC,North America,San Jose,170 ms,45 kB/s
﻿IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
166.0.188.128,16819,true,LAX,North America,Los Angeles,179 ms,7910 kB/s
141.11.86.143,31268,true,FRA,Europe,Frankfurt,405 ms,291 kB/s
213.218.254.248,8443,true,NRT,Asia Pacific,Tokyo,241 ms,42 kB/s
82.153.65.177,443,true,NRT,Asia Pacific,Tokyo,241 ms,29 kB/s
166.0.188.128,19027,true,LAX,North America,Los Angeles,185 ms,0 kB/s
213.218.254.218,59104,true,NRT,Asia Pacific,Tokyo,234 ms,0 kB/s
﻿IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
23.225.64.72,25017,true,SIN,Asia Pacific,Singapore,105 ms,14316 kB/s
149.104.34.210,9888,true,MRS,Europe,Marseille,101 ms,5397 kB/s
149.104.35.77,9888,true,MRS,Europe,Marseille,128 ms,5104 kB/s
149.104.34.28,9888,true,MRS,Europe,Marseille,109 ms,4889 kB/s
149.104.35.88,9888,true,MRS,Europe,Marseille,97 ms,4611 kB/s
154.197.92.81,9888,true,MRS,Europe,Marseille,72 ms,4578 kB/s
154.197.92.91,9888,true,MRS,Europe,Marseille,74 ms,4424 kB/s
149.104.35.58,9888,true,MRS,Europe,Marseille,79 ms,4398 kB/s
149.104.35.66,9888,true,MRS,Europe,Marseille,89 ms,4296 kB/s
149.104.35.74,9888,true,MRS,Europe,Marseille,105 ms,4242 kB/s
154.197.92.85,9888,true,MRS,Europe,Marseille,64 ms,4225 kB/s
149.104.35.86,9888,true,MRS,Europe,Marseille,122 ms,4223 kB/s
154.197.92.72,9888,true,MRS,Europe,Marseille,75 ms,4203 kB/s
154.197.92.118,9888,true,MRS,Europe,Marseille,82 ms,4192 kB/s
154.197.92.70,9888,true,MRS,Europe,Marseille,86 ms,4168 kB/s
149.104.35.72,9888,true,MRS,Europe,Marseille,120 ms,4111 kB/s
149.104.34.211,9888,true,MRS,Europe,Marseille,73 ms,4099 kB/s
149.104.35.3,9888,true,MRS,Europe,Marseille,86 ms,4085 kB/s
154.197.92.86,9888,true,MRS,Europe,Marseille,76 ms,4069 kB/s
149.104.35.71,9888,true,MRS,Europe,Marseille,91 ms,4024 kB/s
154.197.92.88,9888,true,MRS,Europe,Marseille,74 ms,4010 kB/s
149.104.35.81,9888,true,MRS,Europe,Marseille,101 ms,4007 kB/s
149.104.35.90,9888,true,MRS,Europe,Marseille,128 ms,3960 kB/s
154.197.92.77,9888,true,MRS,Europe,Marseille,72 ms,3944 kB/s
149.104.35.73,9888,true,MRS,Europe,Marseille,121 ms,3923 kB/s
149.104.35.123,9888,true,MRS,Europe,Marseille,106 ms,3891 kB/s
154.194.64.132,9888,true,MRS,Europe,Marseille,97 ms,3875 kB/s
149.104.35.55,9888,true,MRS,Europe,Marseille,135 ms,3868 kB/s
149.104.35.70,9888,true,MRS,Europe,Marseille,80 ms,3832 kB/s
154.194.64.135,9888,true,MRS,Europe,Marseille,79 ms,3796 kB/s
149.104.32.78,9888,true,MRS,Europe,Marseille,215 ms,3796 kB/s
149.104.35.105,9888,true,MRS,Europe,Marseille,105 ms,3794 kB/s
154.197.92.84,9888,true,MRS,Europe,Marseille,70 ms,3785 kB/s
154.197.92.67,9888,true,MRS,Europe,Marseille,113 ms,3740 kB/s
149.104.35.80,9888,true,MRS,Europe,Marseille,95 ms,3735 kB/s
149.104.35.99,9888,true,MRS,Europe,Marseille,103 ms,3711 kB/s
149.104.35.114,9888,true,MRS,Europe,Marseille,84 ms,3683 kB/s
154.197.92.66,9888,true,MRS,Europe,Marseille,121 ms,3679 kB/s
149.104.35.83,9888,true,MRS,Europe,Marseille,115 ms,3673 kB/s
149.104.35.110,9888,true,MRS,Europe,Marseille,92 ms,3663 kB/s
154.197.92.92,9888,true,MRS,Europe,Marseille,71 ms,3624 kB/s
149.104.35.103,9888,true,MRS,Europe,Marseille,102 ms,3578 kB/s
149.104.35.94,9888,true,MRS,Europe,Marseille,111 ms,3547 kB/s
149.104.35.96,9888,true,MRS,Europe,Marseille,115 ms,3524 kB/s
154.194.64.137,9888,true,MRS,Europe,Marseille,130 ms,3477 kB/s
154.197.92.82,9888,true,MRS,Europe,Marseille,68 ms,3476 kB/s
149.104.35.4,9888,true,MRS,Europe,Marseille,66 ms,3471 kB/s
149.104.34.27,9888,true,MRS,Europe,Marseille,74 ms,3470 kB/s
154.197.92.80,9888,true,MRS,Europe,Marseille,69 ms,3405 kB/s
149.104.35.5,9888,true,MRS,Europe,Marseille,83 ms,3368 kB/s
149.104.35.124,9888,true,MRS,Europe,Marseille,76 ms,3357 kB/s
154.197.92.93,9888,true,MRS,Europe,Marseille,66 ms,3342 kB/s
154.194.64.138,9888,true,MRS,Europe,Marseille,127 ms,3340 kB/s
154.197.92.73,9888,true,MRS,Europe,Marseille,78 ms,3329 kB/s
154.197.92.103,9888,true,MRS,Europe,Marseille,122 ms,3317 kB/s
149.104.35.106,9888,true,MRS,Europe,Marseille,67 ms,3286 kB/s
149.104.35.92,9888,true,MRS,Europe,Marseille,108 ms,3260 kB/s
149.104.35.89,9888,true,MRS,Europe,Marseille,102 ms,3236 kB/s
149.104.35.115,9888,true,MRS,Europe,Marseille,103 ms,3225 kB/s
149.104.35.111,9888,true,MRS,Europe,Marseille,100 ms,3180 kB/s
149.104.35.84,9888,true,MRS,Europe,Marseille,91 ms,3179 kB/s
149.104.35.82,9888,true,MRS,Europe,Marseille,82 ms,3174 kB/s
149.104.35.112,9888,true,MRS,Europe,Marseille,97 ms,3160 kB/s
154.197.92.75,9888,true,MRS,Europe,Marseille,71 ms,3159 kB/s
149.104.35.53,9888,true,MRS,Europe,Marseille,133 ms,3142 kB/s
149.104.35.52,9888,true,MRS,Europe,Marseille,98 ms,3140 kB/s
149.104.35.2,9888,true,MRS,Europe,Marseille,94 ms,3091 kB/s
149.104.35.59,9888,true,MRS,Europe,Marseille,84 ms,3053 kB/s
154.194.64.131,9888,true,MRS,Europe,Marseille,104 ms,3049 kB/s
149.104.35.125,9888,true,MRS,Europe,Marseille,83 ms,3007 kB/s
154.197.92.110,9888,true,MRS,Europe,Marseille,106 ms,3003 kB/s
149.104.35.51,9888,true,MRS,Europe,Marseille,76 ms,2987 kB/s
154.194.64.130,9888,true,MRS,Europe,Marseille,114 ms,2863 kB/s
154.197.92.121,9888,true,MRS,Europe,Marseille,123 ms,2689 kB/s
149.104.34.214,9888,true,MRS,Europe,Marseille,115 ms,2524 kB/s
154.197.92.113,9888,true,MRS,Europe,Marseille,110 ms,2466 kB/s
149.104.35.108,9888,true,MRS,Europe,Marseille,106 ms,2415 kB/s
103.99.179.39,443,true,LAX,North America,Los Angeles,183 ms,2364 kB/s
149.104.34.29,9888,true,MRS,Europe,Marseille,95 ms,2180 kB/s
154.197.92.106,9888,true,MRS,Europe,Marseille,76 ms,2124 kB/s
154.197.92.119,9888,true,MRS,Europe,Marseille,118 ms,1990 kB/s
103.235.18.61,34237,true,HKG,Asia Pacific,Hong Kong,150 ms,1913 kB/s
154.197.92.109,9888,true,MRS,Europe,Marseille,109 ms,1779 kB/s
103.94.185.165,23429,true,LAX,North America,Los Angeles,188 ms,1721 kB/s
149.104.34.213,9888,true,MRS,Europe,Marseille,72 ms,1523 kB/s
172.247.15.240,34237,true,LAX,North America,Los Angeles,179 ms,1375 kB/s
154.197.92.117,9888,true,MRS,Europe,Marseille,103 ms,1270 kB/s
154.197.92.115,9888,true,MRS,Europe,Marseille,105 ms,1251 kB/s
149.104.34.26,9888,true,MRS,Europe,Marseille,113 ms,1228 kB/s
154.197.92.101,9888,true,MRS,Europe,Marseille,84 ms,1154 kB/s
38.6.190.192,2087,true,LAX,North America,Los Angeles,203 ms,1126 kB/s
38.6.190.192,2083,true,LAX,North America,Los Angeles,225 ms,1119 kB/s
154.197.92.123,9888,true,MRS,Europe,Marseille,67 ms,1113 kB/s
103.99.178.62,31940,true,LAX,North America,Los Angeles,192 ms,1004 kB/s
103.99.178.62,13241,true,LAX,North America,Los Angeles,198 ms,950 kB/s
154.197.92.124,9888,true,MRS,Europe,Marseille,101 ms,910 kB/s
154.197.92.120,9888,true,MRS,Europe,Marseille,108 ms,876 kB/s
172.247.21.125,443,true,LAX,North America,Los Angeles,206 ms,854 kB/s
103.99.178.62,51794,true,LAX,North America,Los Angeles,202 ms,812 kB/s
149.104.32.74,9888,true,MRS,Europe,Marseille,193 ms,617 kB/s
172.247.123.56,34237,true,LAX,North America,Los Angeles,176 ms,460 kB/s
2.56.255.16,443,true,LAX,North America,Los Angeles,192 ms,0 kB/s
﻿IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
140.83.86.166,443,true,KIX,Asia Pacific,Osaka,202 ms,4117 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,336 ms,4056 kB/s
146.235.211.70,2083,true,SJC,North America,San Jose,187 ms,4053 kB/s
158.179.206.143,443,true,ARN,Europe,Stockholm,256 ms,3627 kB/s
141.147.85.167,8443,true,LHR,Europe,London,233 ms,3614 kB/s
146.235.211.70,2082,true,SJC,North America,San Jose,179 ms,3567 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,257 ms,3507 kB/s
141.148.242.113,8443,true,AMS,Europe,Amsterdam,289 ms,3435 kB/s
129.146.168.102,443,true,LAX,North America,Los Angeles,246 ms,3349 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,258 ms,3333 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,292 ms,2996 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,258 ms,2781 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,285 ms,2503 kB/s
134.65.59.100,443,true,LHR,Europe,London,249 ms,2485 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,249 ms,2335 kB/s
132.145.54.84,2053,true,LHR,Europe,London,232 ms,2327 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,253 ms,2166 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,234 ms,2140 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,244 ms,2115 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,278 ms,2054 kB/s
193.122.1.0,2053,true,FRA,Europe,Frankfurt,252 ms,1658 kB/s
130.61.181.61,2053,true,FRA,Europe,Frankfurt,289 ms,1654 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,256 ms,1611 kB/s
129.146.134.77,443,true,LAX,North America,Los Angeles,238 ms,1449 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,318 ms,1340 kB/s
132.145.54.84,8443,true,LHR,Europe,London,231 ms,1225 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,287 ms,1113 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,245 ms,972 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,250 ms,906 kB/s
129.153.126.67,443,true,LAX,North America,Los Angeles,265 ms,863 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,358 ms,707 kB/s
141.144.198.113,8443,true,AMS,Europe,Amsterdam,291 ms,435 kB/s
130.61.181.61,8443,true,FRA,Europe,Frankfurt,287 ms,265 kB/s
144.24.200.164,443,true,MRS,Europe,Marseille,244 ms,236 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,371 ms,141 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,361 ms,134 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,379 ms,99 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,383 ms,99 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,362 ms,70 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,292 ms,42 kB/s
89.168.112.118,2053,true,FRA,Europe,Frankfurt,310 ms,0 kB/s
193.122.1.0,8443,true,FRA,Europe,Frankfurt,252 ms,0 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,340 ms,0 kB/s
213.35.105.46,443,true,SIN,Asia Pacific,Singapore,274 ms,0 kB/s
193.123.250.209,2087,true,ICN,Asia Pacific,Seoul,61 ms,0 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,287 ms,0 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,292 ms,0 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,87 ms,0 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,298 ms,0 kB/s
143.47.243.144,8443,true,LHR,Europe,London,239 ms,0 kB/s
140.238.33.161,443,true,NRT,Asia Pacific,Tokyo,149 ms,0 kB/s
